,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,MeanWorkingTime
26,1.0,1.0,3.0,0,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,3,4,10.977123430962223
27,4.0,4.0,3.0,0,Travel_Rarely,Sales,5,1,Marketing,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,7.604444444444445
28,4.0,3.0,1.0,1,Travel_Frequently,Research & Development,1,2,Medical,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2,3,10.977585733881945
29,4.0,4.0,3.0,0,Travel_Rarely,Sales,2,3,Marketing,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2,3,6.831275362318611
30,1.0,2.0,3.0,1,Travel_Rarely,Research & Development,4,3,Medical,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2,3,10.109408263305278
31,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,7,3,Other,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2,3,6.7096659779613885
32,3.0,1.0,3.0,0,Travel_Frequently,Research & Development,1,1,Medical,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,10.51821462488111
33,3.0,2.0,3.0,0,Travel_Rarely,Sales,5,3,Technical Degree,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3,3,6.182887517146667
34,4.0,2.0,2.0,0,Travel_Frequently,Research & Development,9,4,Medical,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,6.586388888888889
35,4.0,4.0,3.0,1,Travel_Rarely,Research & Development,8,3,Medical,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,3,3,10.272241379310278
36,2.0,4.0,2.0,0,Travel_Frequently,Sales,9,1,Marketing,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,3,3,9.9827330119375
37,3.0,2.0,4.0,0,Travel_Frequently,Sales,2,2,Marketing,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3,3,5.97956763285
38,3.0,3.0,3.0,1,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,2,3,6.7759679393047225
39,3.0,2.0,2.0,0,Travel_Rarely,Sales,20,2,Life Sciences,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,2,3,7.6901603905158336
40,3.0,,3.0,0,Travel_Frequently,Research & Development,8,3,Other,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,2,3,7.204732468123611
41,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2,3,7.594769503545833
42,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,3,3,6.952642332415
43,4.0,3.0,3.0,0,Travel_Rarely,Sales,7,3,Life Sciences,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,3,3,7.008878472222222
44,2.0,1.0,3.0,0,Travel_Rarely,Research & Development,9,3,Medical,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2,4,7.201573315118333
45,2.0,4.0,2.0,0,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,3,3,7.172875
46,3.0,4.0,2.0,0,Travel_Rarely,Sales,5,4,Marketing,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3,4,7.636801418439444
47,2.0,2.0,3.0,0,Non-Travel,Research & Development,5,4,Life Sciences,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,3,4,7.832781293951944
48,4.0,3.0,2.0,0,Travel_Rarely,Sales,2,3,Marketing,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,3,4,6.974765051395
49,1.0,2.0,3.0,0,Travel_Rarely,Research & Development,5,2,Life Sciences,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2,3,6.906424220272778
50,4.0,3.0,3.0,0,Non-Travel,Research & Development,2,3,Life Sciences,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2,3,10.895463728190833
51,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,20,1,Technical Degree,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,2,3,9.12566572902
52,1.0,1.0,3.0,0,Travel_Rarely,Sales,7,4,Marketing,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,3,4,6.8314597861458335
53,1.0,1.0,3.0,0,Travel_Frequently,Research & Development,3,1,Medical,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,3,3,7.316049905837778
54,3.0,4.0,1.0,0,Travel_Rarely,Sales,16,4,Marketing,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3,3,8.610798041894167
55,4.0,2.0,3.0,0,Travel_Frequently,Research & Development,9,3,Life Sciences,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,3,3,6.784845288326111
56,3.0,1.0,3.0,0,Travel_Rarely,Sales,1,4,Life Sciences,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3,4,10.9860997732425
57,3.0,4.0,3.0,0,Travel_Frequently,Research & Development,7,4,Medical,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3,3,7.6865846793927775
58,3.0,3.0,3.0,0,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3,4,9.948856881572778
59,3.0,2.0,2.0,1,Travel_Rarely,Research & Development,7,1,Life Sciences,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3,3,7.9055276615525
60,3.0,2.0,2.0,0,Travel_Rarely,Research & Development,15,4,Medical,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3,4,10.672414617486112
61,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,4,3,10.496171548116944
62,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,13,2,Medical,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4,3,10.069261664261388
63,4.0,4.0,3.0,0,Travel_Rarely,Sales,24,3,Life Sciences,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4,3,6.6070141746683335
64,1.0,4.0,2.0,0,Travel_Rarely,Research & Development,7,3,Technical Degree,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,3,3,7.497914908579444
65,1.0,4.0,2.0,1,Travel_Rarely,Research & Development,9,4,Medical,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,2,3,10.727235717498612
66,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,13,3,Life Sciences,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,3,3,6.1848168103447225
67,3.0,3.0,3.0,0,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,2,3,6.6093000489475
68,3.0,4.0,3.0,0,Travel_Frequently,Research & Development,19,4,Medical,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3,3,6.076246345029166
69,4.0,3.0,2.0,1,Travel_Rarely,Research & Development,1,1,Medical,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,3,3,9.971745709123612
70,2.0,4.0,2.0,0,Travel_Frequently,Sales,4,2,Life Sciences,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,3,3,7.4214520202019445
71,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,4,3,Life Sciences,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4,4,6.493810013717222
72,3.0,3.0,4.0,0,Travel_Frequently,Research & Development,14,3,Medical,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3,3,6.2994704491725
73,3.0,2.0,3.0,0,Non-Travel,Research & Development,2,3,Life Sciences,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3,3,9.316973304473056
74,4.0,3.0,2.0,0,Travel_Frequently,Research & Development,1,4,Life Sciences,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,3,3,6.097862787356111
75,3.0,1.0,2.0,0,Travel_Rarely,Research & Development,7,2,Life Sciences,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3,4,7.217327264238889
76,4.0,4.0,3.0,0,Travel_Rarely,Sales,3,1,Marketing,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,3,3,7.100070018365278
77,2.0,4.0,2.0,0,Travel_Rarely,Research & Development,2,4,Other,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,3,3,9.9141077441075
78,2.0,1.0,2.0,1,Travel_Rarely,Research & Development,29,3,Medical,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,3,3,10.477788647342777
79,2.0,4.0,3.0,0,Travel_Rarely,Human Resources,8,3,Medical,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,3,4,6.906938633193611
80,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,10,3,Life Sciences,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2,3,7.58909243295
81,2.0,2.0,3.0,0,Travel_Rarely,Research & Development,11,2,Medical,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2,3,6.079724499089167
82,4.0,4.0,2.0,0,Travel_Rarely,Sales,1,4,Life Sciences,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,3,3,6.001112288135555
83,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,28,4,Medical,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3,3,8.983123278236667
84,3.0,4.0,,0,Travel_Rarely,Research & Development,6,3,Medical,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3,3,10.426184640522777
85,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,3,4,Life Sciences,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,3,3,8.387526183970833
86,3.0,2.0,3.0,0,Travel_Rarely,Sales,16,2,Technical Degree,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,4,3,7.912038626609166
87,3.0,4.0,2.0,0,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2,4,7.105291842475277
88,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,3,3,9.688633193863055
89,2.0,3.0,3.0,0,Travel_Frequently,Sales,1,3,Medical,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,4,3,7.770347512784722
90,1.0,4.0,3.0,0,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1,4,6.284280356305556
91,4.0,3.0,2.0,0,Non-Travel,Sales,22,4,Marketing,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,2,4,6.3061087267525
92,3.0,3.0,3.0,0,Travel_Rarely,Sales,7,4,Medical,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,2,3,8.83158503898611
93,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,2,3,Medical,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3,3,7.722377344877223
94,1.0,3.0,1.0,0,Travel_Rarely,Sales,13,4,Medical,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,2,3,7.317479732951667
95,3.0,1.0,3.0,0,Travel_Rarely,Research & Development,8,5,Technical Degree,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3,3,10.798262483130832
96,4.0,3.0,4.0,0,Non-Travel,Sales,25,4,Other,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,3,4,10.401363945578055
97,3.0,3.0,3.0,0,Travel_Rarely,Sales,28,3,Medical,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,3,3,5.994326703246389
98,1.0,4.0,3.0,0,Travel_Rarely,Sales,2,2,Medical,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,3,3,6.113110181310834
99,1.0,2.0,3.0,1,Travel_Frequently,Research & Development,9,3,Medical,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,2,3,8.133578096538889
100,4.0,4.0,3.0,0,Non-Travel,Human Resources,28,3,Human Resources,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,1,4,7.306164990421389
101,1.0,4.0,3.0,0,Travel_Frequently,Research & Development,6,3,Life Sciences,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,3,3,7.105030345471389
102,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,21,4,Life Sciences,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,1,3,6.327729314420556
103,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,8,3,Other,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,3,3,8.128512160228889
104,1.0,4.0,2.0,0,Non-Travel,Research & Development,1,5,Life Sciences,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,1,3,7.986432557011111
105,4.0,3.0,3.0,1,Travel_Rarely,Human Resources,28,2,Human Resources,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0,1,4,10.509096921596667
106,3.0,1.0,3.0,0,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,4,3,7.993284030783889
107,3.0,3.0,4.0,0,Non-Travel,Sales,2,4,Marketing,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,3,3,6.103653752436389
108,1.0,2.0,3.0,1,Travel_Frequently,Research & Development,16,1,Medical,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7,4,3,7.587908917501111
109,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,9,3,Medical,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,3,3,6.890321256038611
110,3.0,3.0,3.0,1,Travel_Rarely,Research & Development,8,3,Medical,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0,2,4,9.295999525166112
111,,2.0,3.0,0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,3,4,10.806078364950277
112,3.0,2.0,3.0,1,Travel_Rarely,Human Resources,10,2,Human Resources,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0,3,3,5.995219806763056
113,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2,4,3,7.788609977324167
114,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,29,3,Life Sciences,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,3,3,7.717707156308611
115,4.0,2.0,3.0,0,Travel_Rarely,Sales,2,3,Life Sciences,1,Sales Executive,Divorced,23670,,12,1,5.0,2,5,0,4,3,3,6.189450379866944
116,2.0,4.0,3.0,0,Travel_Rarely,Research & Development,2,2,Medical,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,2,3,7.1206142241377774
117,2.0,3.0,3.0,0,Travel_Rarely,Sales,2,3,Technical Degree,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0,3,3,7.825193287036944
118,3.0,4.0,2.0,0,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,3,4,7.619401803118889
119,4.0,3.0,3.0,0,Travel_Rarely,Sales,15,2,Life Sciences,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,3,3,6.002463200379722
120,1.0,4.0,2.0,1,Non-Travel,Research & Development,7,3,Life Sciences,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,4,3,4,9.113126477541112
121,3.0,4.0,3.0,0,Travel_Rarely,Sales,26,3,Marketing,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,3,3,8.684139595103334
122,4.0,3.0,4.0,0,Travel_Rarely,Research & Development,1,3,Life Sciences,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,3,3,9.993131642511944
123,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,3,3,Life Sciences,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,3,3,6.900539923039722
124,3.0,,3.0,1,Travel_Frequently,Sales,14,3,Life Sciences,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4,3,3,6.999357638888889
125,1.0,2.0,3.0,0,Travel_Rarely,Research & Development,16,5,Other,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,2,3,6.28623015873
126,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,1,3,Medical,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,3,3,6.366151129943334
127,3.0,4.0,3.0,1,Travel_Frequently,Sales,3,2,Marketing,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0,2,3,8.191660879629444
128,4.0,1.0,2.0,0,Travel_Rarely,Research & Development,10,1,Technical Degree,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,3,3,6.452089120370278
129,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,6,2,Medical,3,Research Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,2,3,6.682986714975834
130,2.0,1.0,3.0,0,Travel_Rarely,Research & Development,2,3,Medical,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,2,3,7.482647754136944
131,3.0,2.0,2.0,0,Travel_Rarely,Sales,9,1,Marketing,3,Sales Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,2,3,9.920131519274166
132,1.0,2.0,3.0,0,Travel_Rarely,Sales,10,2,Life Sciences,1,Sales Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,3,3,7.415638297872222
133,2.0,3.0,3.0,0,Travel_Rarely,Sales,6,2,Life Sciences,1,Laboratory Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,2,3,7.495338468720556
134,1.0,1.0,2.0,0,Travel_Rarely,Human Resources,9,3,Life Sciences,2,Manufacturing Director,Married,63230,4.0,23,1,24.0,2,4,1,2,2,4,5.998969652471667
135,3.0,3.0,3.0,0,Non-Travel,Research & Development,28,3,Medical,1,Laboratory Technician,Married,56770,9.0,20,1,6.0,3,3,1,2,3,4,6.859545346628611
136,2.0,1.0,1.0,0,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Sales Executive,Married,21870,1.0,15,1,13.0,2,13,3,12,2,3,6.131909722222222
137,4.0,4.0,3.0,0,Travel_Frequently,Sales,14,3,Life Sciences,1,Manufacturing Director,Married,37480,7.0,14,2,,3,3,1,2,2,3,7.674805433186389
138,3.0,3.0,3.0,0,Travel_Rarely,Sales,27,4,Life Sciences,2,Sales Representative,Divorced,39770,4.0,18,1,8.0,3,5,0,2,3,3,8.878969421101667
139,2.0,4.0,3.0,0,Travel_Rarely,Human Resources,7,2,Human Resources,1,Manufacturing Director,Single,86330,1.0,19,1,5.0,2,5,1,3,4,3,10.895845306513333
140,2.0,3.0,3.0,0,Non-Travel,Research & Development,1,3,Medical,3,Laboratory Technician,Married,20080,3.0,22,0,15.0,5,13,10,7,2,4,10.692001669050834
141,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,24,1,Medical,3,Laboratory Technician,Married,44400,1.0,13,1,4.0,2,4,3,2,3,3,7.060316091953889
142,2.0,3.0,3.0,0,Travel_Frequently,Research & Development,26,4,Technical Degree,1,Sales Executive,Divorced,30670,1.0,20,1,21.0,5,21,1,6,1,4,9.009179138321944
143,3.0,1.0,2.0,0,Travel_Frequently,Research & Development,20,4,Life Sciences,3,Sales Executive,Married,53210,9.0,14,0,36.0,1,7,7,7,3,3,7.420447466294722
144,2.0,3.0,3.0,0,Travel_Rarely,Sales,5,4,Medical,2,Manufacturing Director,Single,54100,0.0,17,1,6.0,2,5,4,4,3,3,7.585973922902222
145,2.0,1.0,3.0,0,Travel_Rarely,Research & Development,7,3,Technical Degree,3,Research Scientist,Married,27820,1.0,14,0,10.0,2,10,0,7,2,3,6.624136698939444
146,3.0,1.0,3.0,0,Travel_Rarely,Research & Development,7,3,Medical,3,Healthcare Representative,Divorced,119570,1.0,13,0,10.0,2,10,1,8,2,3,6.192764830508334
147,1.0,1.0,3.0,1,Travel_Rarely,Research & Development,5,2,Life Sciences,3,Laboratory Technician,Married,26600,5.0,13,0,6.0,3,2,0,2,3,3,6.472303436911389
148,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,26,2,Life Sciences,2,Sales Representative,Married,33750,2.0,21,0,28.0,2,5,0,4,2,4,8.195051440329166
149,1.0,4.0,2.0,0,Travel_Rarely,Research & Development,2,3,Medical,1,Sales Executive,Married,50980,3.0,14,1,8.0,4,2,0,2,3,3,6.7876957337083335
150,4.0,4.0,1.0,0,Travel_Rarely,Research & Development,12,3,Medical,2,Research Scientist,Married,48780,2.0,11,1,31.0,3,5,1,4,3,3,7.302139479905278
151,1.0,3.0,3.0,0,Travel_Frequently,Sales,10,3,Marketing,2,Healthcare Representative,Divorced,28370,2.0,13,1,19.0,0,5,0,2,2,3,6.8224070100141665
152,3.0,4.0,3.0,0,Travel_Rarely,Sales,25,3,Marketing,1,Sales Executive,Single,24060,2.0,20,1,11.0,5,5,0,2,3,4,7.322458937198055
153,1.0,1.0,1.0,0,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Manufacturing Director,Married,22690,5.0,18,1,33.0,4,29,11,10,3,3,6.164361829501667
154,3.0,3.0,2.0,0,Travel_Rarely,Sales,19,4,Marketing,1,Sales Executive,Divorced,41080,2.0,14,0,19.0,5,10,0,8,2,3,7.610284810126389
